[2026-03-16 17:34:52] [HỆ THỐNG] Server Java khởi động, kết nối MQTT thành công.
[2026-03-16 17:44:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:44:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:45:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:45:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:45:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:45:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 62.0%
[2026-03-16 17:45:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:45:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 61.0%
[2026-03-16 17:45:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:45:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 60.0%
[2026-03-16 17:45:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.3°C, Độ ẩm: 60.0%
[2026-03-16 17:45:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 60.0%
[2026-03-16 17:45:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 60.0%
[2026-03-16 17:45:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:46:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:47:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 59.0%
[2026-03-16 17:47:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 60.0%
[2026-03-16 17:47:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 60.0%
[2026-03-16 17:47:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 60.0%
[2026-03-16 17:47:20] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:47:25] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:47:30] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 61.0%
[2026-03-16 17:47:35] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:47:40] [NODE 2] Cập nhật -> Nhiệt độ: 24.1°C, Độ ẩm: 62.0%
[2026-03-16 17:47:45] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 62.0%
[2026-03-16 17:47:50] [NODE 2] Cập nhật -> Nhiệt độ: 24.2°C, Độ ẩm: 62.0%
[2026-03-16 17:47:55] [NODE 2] Cập nhật -> Nhiệt độ: 24.3°C, Độ ẩm: 62.0%
[2026-03-16 17:48:00] [NODE 2] Cập nhật -> Nhiệt độ: 24.4°C, Độ ẩm: 62.0%
[2026-03-16 17:48:05] [NODE 2] Cập nhật -> Nhiệt độ: 24.4°C, Độ ẩm: 63.0%
[2026-03-16 17:48:10] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
[2026-03-16 17:48:15] [NODE 2] Cập nhật -> Nhiệt độ: 24.5°C, Độ ẩm: 63.0%
